feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.24696115831921922,67.0,3.0,67.0,continuous,10.0
APOE4status,0.20644589817784437,0.0,1.0,0.0,binary,8.35944808417989
Hypertension_status_ICD10,0.07615851415749757,1.0,1.0,1.0,binary,3.083825597345795
X2188.0.0,0.11792491392438197,1.0,1.0,1.0,binary,4.775038905994826
X6142.0.0,-0.3464077044994637,0.0,1.0,0.0,binary,-14.02680918963382
X2473.0.0,0.19304143267829893,0.0,1.0,0.0,binary,7.816671819654156
X137.0.0,0.06637155873790895,4.0,4.0,4.0,continuous,2.6875302654726707
X1200.0.0,-0.09472250614921608,2.0,1.0,2.0,continuous,-3.8355224276515107
History_of_Diabetes_ICD,0.12705564792336488,0.0,1.0,0.0,binary,5.144762390494386
Depression_ICD,0.42156261323700467,0.0,1.0,0.0,binary,17.069996598092466
X400,0.07484241878718688,307.5,269.0,306.0,continuous,3.0305340036689663
X30510.0.0,0.08614724596630297,9703.0,8092.0,9670.0,continuous,3.4882912986239725
X1835.0.0,-0.09540644951350745,0.0,1.0,0.0,binary,-3.863216797444161
X48.0.0,-0.14358215634382135,95.0,15.0,95.0,continuous,-5.81395703360885
X398,-0.13901372599363274,4.5,4.5,4.5,continuous,-5.6289712495575985
X3077.0.0,0.12095390016152865,50.0,10.0,50.0,continuous,4.89768921496493
X2040.0.0,-0.05595267318865242,0.0,1.0,0.0,binary,-2.2656466939764117
X2257.0.0,0.0009972299015889353,0.0,1.0,0.0,binary,0.040380030138177724
X2000.0.0,0.030865868097761803,0.0,1.0,0.0,binary,1.249826827337153
X30880.0.0,-0.09233896260493363,326.2,108.39999999999998,325.9,continuous,-3.739007511682356
X2296.0.0,0.016660909331712388,1.0,1.0,1.0,continuous,0.6746368313585849
X1528.0.0,-0.15278665300483021,4.0,3.0,4.0,continuous,-6.18666733038804
X1070.0.0,0.11066430474505316,3.0,3.0,3.0,continuous,4.481040885061355
X30870.0.0,-0.04465564767651169,1.094,0.7260000000000001,1.094,continuous,-1.8082053056614797
X2080.0.0,-0.019536161010112615,1.0,1.0,1.0,continuous,-0.7910620902117892
X1100.0.0,-0.16709764118807557,1.0,1.0,1.0,continuous,-6.766150690469593
X2316.0.0,0.23865463663555925,0.0,1.0,0.0,binary,9.663650683362805
X30650.0.0,0.015443277967182367,25.2,8.0,25.1,continuous,0.6253322616514683
31-0.0,0.20824095201830675,0.0,1.0,0.0,binary,8.432133758829266
X30620.0.0,-0.03298745220041866,19.27,8.840000000000002,19.34,continuous,-1.335734429856352
X20015.0.0,0.0549253694244815,83.0,6.0,83.0,continuous,2.2240489070546707
X30520.0.0,0.09059145922963649,51.0,36.0,51.0,continuous,3.6682472598601517
X30830.0.0,0.025892690258052735,44.67,26.15,44.39,continuous,1.0484519279984967
X1538.0.0,-0.029289844849756896,1.0,1.0,1.0,binary,-1.1860101826983322
X1110.0.0,-0.12988361661007883,3.0,2.0,3.0,continuous,-5.259273057109358
X22039.0.0,0.028614841363577757,160.0,840.0,160.0,continuous,1.1586778082159193
X47.0.0,0.05627570420112583,28.0,15.0,27.0,continuous,2.2787269295353925
X92.0.0,0.08897318685495774,1976.0,1955.0,1974.0,continuous,3.602719855239422
StrokeTIA_ICD,0.6586087185145696,0.0,1.0,0.0,binary,26.668514312006074
X30280.0.0,-0.00042214873278370883,0.332,0.08300000000000002,0.332,continuous,-0.017093729866542177
X30890.0.0,0.03295345847591412,36.0,25.099999999999998,36.1,continuous,1.3343579492496083
X30680.0.0,0.03780817050531143,2.383,0.13100000000000023,2.384,continuous,1.5309359075989193
X30770.0.0,0.01277253159700836,20.015,7.417000000000002,19.99,continuous,0.5171878721308364
