feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.03171674035528999,50.0,10.0,50.0,continuous,10.0
APOE4status,0.020493141159901786,0.0,1.0,0.0,binary,6.461301171034041
Hypertension_status_ICD10,0.02653125746030449,0.0,1.0,0.0,binary,8.365064367618528
X2188.0.0,0.03308149129251999,0.0,1.0,0.0,binary,10.430293567984005
X6142.0.0,-0.028918575581470977,1.0,1.0,1.0,binary,-9.117764075855824
X2473.0.0,0.034143847517835106,0.0,1.0,0.0,binary,10.765244831390847
X137.0.0,0.010804424588267627,2.0,3.0,2.0,continuous,3.406536884697728
X1200.0.0,0.00280332358747586,2.0,1.0,2.0,continuous,0.8838624512081353
History_of_Diabetes_ICD,0.018283381427627296,0.0,1.0,0.0,binary,5.764584009206935
Depression_ICD,0.1185856890589446,0.0,1.0,0.0,binary,37.38899008238274
X400,0.004685627723615901,242.0,171.0,242.0,continuous,1.4773358394108718
X30510.0.0,0.002488185406574628,11544.0,9402.0,11542.0,continuous,0.7845022466691244
X1835.0.0,-0.027021553072422697,1.0,1.0,1.0,binary,-8.519650118432114
X48.0.0,0.0028929934673072215,92.0,16.0,92.0,continuous,0.9121345494209032
X398,-0.006141544208822896,4.5,1.0,4.5,continuous,-1.9363730761816942
X3077.0.0,-0.006235777264484353,50.0,10.0,50.0,continuous,-1.9660839022646588
X2040.0.0,-0.019544966324229106,0.0,1.0,0.0,binary,-6.162350262128759
X2257.0.0,0.017046621407024176,0.0,1.0,0.0,binary,5.374644814085062
X2000.0.0,-0.011268485936801137,0.0,1.0,0.0,binary,-3.552851210613666
X30880.0.0,0.0006734198160644194,300.7,105.9,300.7,continuous,0.21232314812959668
X2296.0.0,0.011561070368086636,1.0,1.0,1.0,continuous,3.645100422861828
X1528.0.0,-0.0074188862541262795,4.0,3.0,4.0,continuous,-2.339107414891989
X1070.0.0,0.0071488012198240875,3.0,2.0,3.0,continuous,2.2539520580436156
X30870.0.0,0.0023309535643003566,1.049,0.7309999999999999,1.049,continuous,0.7349284756847909
X2080.0.0,-0.0035184830835994583,2.0,2.0,2.0,continuous,-1.1093457411403296
X1100.0.0,-0.011433881216320356,1.0,1.0,1.0,continuous,-3.6049988391739993
X2316.0.0,0.018042193308182384,0.0,1.0,0.0,binary,5.688539587004927
X30650.0.0,0.010396689243200065,24.9,8.600000000000001,24.9,continuous,3.2779816357975813
31-0.0,0.020340658777024248,0.0,1.0,0.0,binary,6.413224861435566
X30620.0.0,0.0056213940731152994,19.29,11.759999999999998,19.28,continuous,1.7723744653910234
X20015.0.0,-0.0028759984590030693,86.0,6.0,86.0,continuous,-0.9067761777491063
X30520.0.0,-0.005286311806109442,55.3,41.4,55.3,continuous,-1.6667260717502281
X30830.0.0,-0.005597331556069036,42.17,28.94,42.18,continuous,-1.7647877724406393
X1538.0.0,-0.002652287968384778,1.0,1.0,1.0,binary,-0.8362422930836921
X1110.0.0,-0.0017172716333491414,4.0,1.0,4.0,continuous,-0.5414401398480155
X22039.0.0,-0.001502853824557486,240.0,960.0,240.0,continuous,-0.47383615331290724
X47.0.0,-0.0057576519993909865,30.0,16.0,30.0,continuous,-1.8153353512668509
X92.0.0,-0.0070897361139435865,1990.0,1957.0,1990.0,continuous,-2.2353293669288115
StrokeTIA_ICD,0.16630687256237559,0.0,1.0,0.0,binary,52.43504556250449
X30280.0.0,0.0035269779646441676,0.325,0.08600000000000002,0.325,continuous,1.1120240999343136
X30890.0.0,-0.013091617347254012,30.5,21.1,30.6,continuous,-4.127667976154579
X30680.0.0,-0.009065188201298839,2.374,0.1280000000000001,2.374,continuous,-2.8581714576437767
X30770.0.0,-0.008048781258104643,22.251,7.721999999999998,22.264,continuous,-2.537707585313759
