feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.0636018357328849,51.0,13.0,51.0,continuous,10.0
APOE4status,0.04352651689636958,0.0,1.0,0.0,binary,6.843594433212953
Hypertension_status_ICD10,0.04556970408324412,0.0,1.0,0.0,binary,7.164841007833146
X2188.0.0,0.040892215823820584,0.0,1.0,0.0,binary,6.429408106325702
Depression_ICD,0.11999611874289236,0.0,1.0,0.0,binary,18.866769702505483
X137.0.0,0.05163864795094486,2.0,4.0,2.0,continuous,8.119049922995453
X6142.0.0,-0.08339998684304105,1.0,1.0,1.0,binary,-13.112826993438437
History_of_Diabetes_ICD,0.05382476887783974,0.0,1.0,0.0,binary,8.462769707448869
X398,-0.004496005758071456,4.5,1.0,4.5,continuous,-0.7068987406202848
X400,0.0027055632051028603,214.0,140.0,213.5,continuous,0.4253907413090542
X2257.0.0,0.014878699801850317,0.0,1.0,0.0,binary,2.3393506854641597
X2473.0.0,0.06859369352537767,0.0,1.0,0.0,binary,10.784860646704852
X1200.0.0,0.01949504631339,2.0,1.0,2.0,continuous,3.065170382072827
X30510.0.0,-0.008254983680458374,7482.0,7899.0,7483.0,continuous,-1.2979159461886713
X1835.0.0,-0.025762426300208297,1.0,1.0,1.0,binary,-4.05057904435422
X2000.0.0,-0.010031720712964315,1.0,1.0,1.0,binary,-1.577269051650577
X3077.0.0,-0.043262181969559124,50.0,10.0,50.0,continuous,-6.802033537404755
X2296.0.0,0.01899150313750272,1.0,1.0,1.0,continuous,2.9859992119194905
X48.0.0,-0.0028052591704958245,91.0,16.0,91.0,continuous,-0.4410657551265276
X30890.0.0,0.02618192677615971,24.7,19.800000000000004,24.6,continuous,4.116536334913132
X1528.0.0,0.0023385768039216855,4.0,3.0,4.0,continuous,0.3676901424265872
X1100.0.0,-0.022876833312846512,1.0,1.0,1.0,continuous,-3.5968825505170443
X20117.0.0,0.012548852406698861,1.0,1.0,1.0,binary,1.973033051970631
X30880.0.0,0.007581233280854008,310.9,107.60000000000002,310.9,continuous,1.191983406374257
X1468.0.0,0.016726851066249198,0.0,1.0,0.0,binary,2.629932119648033
X30770.0.0,-0.01901444587147679,20.678,7.629000000000001,20.685,continuous,-2.989606455910124
X20015.0.0,-0.010862757825197498,86.0,7.0,86.0,continuous,-1.7079314928611378
X2316.0.0,0.025587801552964275,0.0,1.0,0.0,binary,4.0231231155698035
X30620.0.0,-0.008245272196204165,21.11,13.280000000000001,21.13,continuous,-1.2963890273281848
X2040.0.0,-0.008702244174801118,0.0,1.0,0.0,binary,-1.3682378935332649
StrokeTIA_ICD,0.17569699870654107,0.0,1.0,0.0,binary,27.624516915586153
X1757.0.0,-0.004260713879137711,1.0,1.0,1.0,binary,-0.6699042299709499
X30090.0.0,-0.008547662712123573,0.234,0.06200000000000003,0.234,continuous,-1.343933333626102
X2492.0.0,0.019272674210562196,0.0,1.0,0.0,binary,3.0302072241284996
X1070.0.0,0.0003487678160554184,2.0,1.0,2.0,continuous,0.05483612415216662
X1110.0.0,-0.0005063834976085168,3.0,2.0,3.0,continuous,-0.07961774872901894
X30680.0.0,0.011232343999869387,2.371,0.12199999999999989,2.371,continuous,1.7660408493621167
X30870.0.0,0.0035005159993609382,1.666,1.2520000000000002,1.665,continuous,0.5503797113753778
X1538.0.0,0.007754183417987013,0.0,1.0,0.0,binary,1.2191760392817976
Hypertension_status_p20002_i0,0.04959844353521223,0.0,1.0,0.0,binary,7.798272324012133
X30280.0.0,0.005782364015202578,0.297,0.08500000000000002,0.297,continuous,0.9091504904807087
X47.0.0,-0.03578868921941145,27.0,16.0,27.0,continuous,-5.626989977100166
