feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.012850822683676589,56.0,12.0,56.0,continuous,10.0
APOE4status,0.006412726102669025,0.0,1.0,0.0,binary,4.990128850516798
X2188.0.0,0.01599206045636795,0.0,1.0,0.0,binary,12.4443865190681
Depression_ICD,0.026721230375633842,0.0,1.0,0.0,binary,20.793400573160007
Hypertension_status_ICD10,0.008328595207596058,0.0,1.0,0.0,binary,6.480982122782872
X137.0.0,0.009977447513121398,2.0,3.0,2.0,continuous,7.764053523044079
X2473.0.0,0.020679780075615987,0.0,1.0,0.0,binary,16.092183811612248
X6142.0.0,-0.020611136117815693,1.0,1.0,1.0,binary,-16.038767809002945
X30510.0.0,0.002253339751121692,7520.0,7728.0,7519.0,continuous,1.7534595306368488
X2296.0.0,0.013966811038971171,1.0,1.0,1.0,continuous,10.86841783033248
History_of_Diabetes_ICD,0.015515054161254357,0.0,1.0,0.0,binary,12.073199158651482
X1200.0.0,0.0006931318926405836,2.0,1.0,2.0,continuous,0.5393677196410278
X400,0.009600861241788846,183.0,87.5,183.0,continuous,7.471009038187168
StrokeTIA_ICD,0.041009792930267006,0.0,1.0,0.0,binary,31.912192658574764
X1835.0.0,-0.007953606542046904,0.0,1.0,0.0,binary,-6.189180831317327
X1100.0.0,-0.004248941767487328,2.0,1.0,2.0,continuous,-3.3063577889720883
X2247.0.0,0.004237514937455067,0.0,1.0,0.0,binary,3.2974658835170576
X30890.0.0,-0.0020991002959015286,47.0,29.799999999999997,47.0,continuous,-1.6334365103082888
X92.0.0,6.374035224977527e-05,1975.0,1962.0,1975.0,continuous,0.04960021145629823
X1757.0.0,-0.004681424873737989,1.0,1.0,1.0,binary,-3.642898971506659
X48.0.0,0.0023438446625082127,89.0,19.0,89.0,continuous,1.823886859387935
X1528.0.0,0.0004897685106324786,2.0,3.0,2.0,continuous,0.3811184098389233
X30680.0.0,-0.0010640162478193725,2.376,0.11699999999999999,2.376,continuous,-0.8279751997285828
X30880.0.0,-0.00043859748797459366,300.1,110.19999999999999,300.1,continuous,-0.3412991516346345
X20015.0.0,-0.0035941238327438503,89.0,7.0,89.0,continuous,-2.796804470198775
31-0.0,0.006127908048860332,0.0,1.0,0.0,binary,4.768494749090377
X2316.0.0,0.0032165487979693872,0.0,1.0,0.0,binary,2.502990568887953
X2080.0.0,0.00426430592008252,2.0,1.0,2.0,continuous,3.3183135625232305
X30870.0.0,-0.0003842544314655984,1.473,1.1070000000000002,1.473,continuous,-0.2990115426257396
X87.0.0,-0.00439537954578344,58.0,1957.0,58.0,continuous,-3.4203098540660375
X1468.0.0,-0.001363839191225795,0.0,1.0,0.0,binary,-1.061285510505234
X30770.0.0,-0.0025155768482687515,21.53,7.237250000000003,21.531,continuous,-1.9575220281142742
X2492.0.0,0.011023445645695112,0.0,1.0,0.0,binary,8.578007740856426
X1150.0.0,1.8980673676578546e-05,1.0,1.0,1.0,binary,0.014770006671003434
X3077.0.0,-5.9678550963924556e-05,50.0,1.0,50.0,continuous,-0.0464394789601522
Hchol_p20002_i0,0.005227049147608633,0.0,1.0,0.0,binary,4.067482118672566
X22033.0.0,-0.0013525335754214708,10.0,7.0,10.0,continuous,-1.0524879291498512
X30620.0.0,-0.0001292684688417438,20.21,12.249999999999998,20.21,continuous,-0.10059159014460888
X22039.0.0,-1.8819156642841687e-05,240.0,960.0,240.0,continuous,-0.014644320528012742
X398,-0.016588222923565127,4.5,1.0,4.5,continuous,-12.908296481777676
X1538.0.0,0.00018359341757029056,0.0,1.0,0.0,binary,0.1428651083976866
X2257.0.0,0.005199347560039661,0.0,1.0,0.0,binary,4.045925843054385
