feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.07568258195772377,50.0,10.0,50.0,continuous,10.0
APOE4status,0.04208507315461424,0.0,1.0,0.0,binary,5.560734328292727
Hypertension_status_ICD10,0.08189797959442242,0.0,1.0,0.0,binary,10.821245453831182
X2188.0.0,0.05551137681515802,0.0,1.0,0.0,binary,7.334762554238257
X6142.0.0,-0.080238981655558,1.0,1.0,1.0,binary,-10.602040731165781
X2473.0.0,0.07675363383740973,0.0,1.0,0.0,binary,10.141518940287243
X137.0.0,0.05592547031730863,2.0,3.0,2.0,continuous,7.389477059404309
X1200.0.0,-0.004948616261831833,2.0,1.0,2.0,continuous,-0.653864619021075
History_of_Diabetes_ICD,0.08074764550994308,0.0,1.0,0.0,binary,10.669250892503726
Depression_ICD,0.28028183226127207,0.0,1.0,0.0,binary,37.03386235129204
X400,0.011783742891138258,242.0,171.0,242.0,continuous,1.5569953596087205
X30510.0.0,-0.008188774242754443,11544.0,9402.0,11549.0,continuous,-1.0819892808795404
X1835.0.0,-0.049110216179805634,1.0,1.0,1.0,binary,-6.4889720870303496
X48.0.0,0.018226973208250074,92.0,16.0,92.0,continuous,2.408344527467581
X398,-0.008588315200243182,4.5,1.0,4.5,continuous,-1.1347809466966399
X3077.0.0,-0.014740030473099163,50.0,10.0,50.0,continuous,-1.9476119989316607
X2040.0.0,-0.019547282773470367,0.0,1.0,0.0,binary,-2.5827980848208196
X2257.0.0,0.03972634019099208,0.0,1.0,0.0,binary,5.249073057943924
X2000.0.0,-0.02211578347475206,0.0,1.0,0.0,binary,-2.922176133883212
X30880.0.0,0.01726899146920396,300.7,105.9,300.3,continuous,2.281765635169583
X2296.0.0,0.04906703646089555,1.0,1.0,1.0,continuous,6.483266716284119
X1528.0.0,-7.912672529733586e-05,4.0,3.0,4.0,continuous,-0.01045507741022049
X1070.0.0,0.016022367356202702,3.0,2.0,3.0,continuous,2.1170481954689104
X30870.0.0,0.0018896063671844932,1.049,0.7309999999999999,1.049,continuous,0.24967519848094316
X2080.0.0,0.03541430909156349,2.0,2.0,2.0,continuous,4.679320944857021
X1100.0.0,-0.02386773038568383,1.0,1.0,1.0,continuous,-3.153662278464062
X2316.0.0,0.008306730435573157,0.0,1.0,0.0,binary,1.0975749268455575
X30650.0.0,0.007569496764810644,24.9,8.600000000000001,24.9,continuous,1.0001636531162426
31-0.0,0.015038175203944041,0.0,1.0,0.0,binary,1.9870061003394879
X30620.0.0,-0.002216172083415892,19.29,11.759999999999998,19.3,continuous,-0.29282458738707456
X20015.0.0,-0.0064707139765912795,86.0,6.0,86.0,continuous,-0.8549806057364449
X30520.0.0,-0.006780074099091504,55.3,41.4,55.3,continuous,-0.8958566058011668
X30830.0.0,-0.005823416396023954,42.17,28.94,42.17,continuous,-0.769452659434493
X1538.0.0,-0.003683686690316261,1.0,1.0,1.0,binary,-0.48672846446676005
X1110.0.0,-0.01490249903312501,4.0,1.0,4.0,continuous,-1.9690790995277532
X22039.0.0,0.004523491786013655,240.0,960.0,240.0,continuous,0.5976925824941429
X47.0.0,-0.02270764150986796,30.0,16.0,30.0,continuous,-3.0003788087663854
X92.0.0,-0.001717944058184492,1990.0,1957.0,1990.0,continuous,-0.22699332049006127
StrokeTIA_ICD,0.4418551050543213,0.0,1.0,0.0,binary,58.38266793026977
X30280.0.0,0.017861630702042434,0.325,0.08600000000000002,0.325,continuous,2.3600715303317648
X30890.0.0,-0.009081378563760062,30.5,21.1,30.6,continuous,-1.199929802716418
X30680.0.0,-0.0031779010655204804,2.374,0.1280000000000001,2.374,continuous,-0.4198986059032253
X30770.0.0,-0.013181338400173966,22.251,7.721999999999998,22.269,continuous,-1.7416607704447837
