feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,-0.024596701446765918,68.0,2.0,68.0,continuous,
APOE4status,0.30279566524536555,0.0,1.0,0.0,binary,
Hypertension_status_ICD10,0.1028920290562035,1.0,1.0,1.0,binary,
X2188.0.0,0.10828556914722326,0.0,1.0,0.0,binary,
Depression_ICD,0.744227734040913,0.0,1.0,0.0,binary,
X137.0.0,0.047579832715373596,4.0,4.0,4.0,continuous,
X6142.0.0,-0.10207529090598169,0.0,1.0,0.0,binary,
History_of_Diabetes_ICD,0.07515210769002624,0.0,1.0,0.0,binary,
X398,-0.11459410489869695,4.5,3.0,4.5,continuous,
X400,0.024899919687227788,262.25,194.875,261.5,continuous,
X2257.0.0,-0.06149859702734011,1.0,1.0,1.0,binary,
X2473.0.0,0.22077280690712664,0.0,1.0,0.0,binary,
X1200.0.0,0.06347772737336049,2.0,1.0,2.0,continuous,
X30510.0.0,0.003228192299446928,6943.0,6611.25,6971.0,continuous,
X1835.0.0,9.825983878911773e-05,0.0,1.0,0.0,binary,
X2000.0.0,0.10160376891053606,0.0,1.0,0.0,binary,
X3077.0.0,0.08228287943649634,50.0,10.0,50.0,continuous,
X2296.0.0,-0.02646915698072103,1.0,1.0,1.0,continuous,
X48.0.0,-0.04257063032997893,93.0,13.25,94.0,continuous,
X30890.0.0,-0.021523027581671066,29.75,24.900000000000002,29.75,continuous,
X1528.0.0,-0.00814255943267203,4.0,3.0,4.0,continuous,
X1100.0.0,0.05506341524940634,1.0,1.0,1.0,continuous,
X20117.0.0,0.04059432561091158,1.0,1.0,1.0,binary,
X30880.0.0,-0.039803662928049446,327.29999999999995,104.44999999999993,327.4,continuous,
X1468.0.0,-0.07083284038223471,0.0,1.0,0.0,binary,
X30770.0.0,0.08317358324268984,18.1495,7.54575,18.0765,continuous,
X20015.0.0,0.05078058690127582,85.0,7.0,85.0,continuous,
X2316.0.0,0.04432399823425881,0.0,1.0,0.0,binary,
X30620.0.0,-0.05739534871160695,18.685000000000002,9.9375,18.74,continuous,
X2040.0.0,-0.04804540864688038,0.0,1.0,0.0,binary,
StrokeTIA_ICD,0.7643924719880314,0.0,1.0,0.0,binary,
X1757.0.0,-0.19253130978207134,1.0,1.0,1.0,binary,
X30090.0.0,-0.07941431707948234,0.217,0.059,0.2175,continuous,
X2492.0.0,-0.06663899888146763,1.0,1.0,1.0,binary,
X1070.0.0,0.025647594901053557,3.0,2.0,3.0,continuous,
X1110.0.0,-0.04439971300236615,2.0,3.0,2.0,continuous,
X30680.0.0,0.019944355803726884,2.364,0.12200000000000033,2.364,continuous,
X30870.0.0,-0.060437037985206526,1.5705,1.0462500000000001,1.5735000000000001,continuous,
X1538.0.0,-0.023045199825062042,0.0,1.0,0.0,binary,
Hypertension_status_p20002_i0,0.04480979728248872,0.0,1.0,0.0,binary,
X30280.0.0,-0.05479953478911202,0.301,0.08424999999999994,0.302,continuous,
X47.0.0,-0.049300804481259244,24.0,12.0,24.5,continuous,
